"path","line","column","excerpt"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","371","54","""""""Persist theme selection from the View \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u201a\xac\xc2\xa0\xc3\xa2\xe2\u201a\xac\xe2\u201e\xa2 Theme menu."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","371","61","""""""Persist theme selection from the View \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u201a\xac\xc2\xa0\xc3\xa2\xe2\u201a\xac\xe2\u201e\xa2 Theme menu."""""""
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","403","46","act_manage = QAction(""Manage Profiles\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","403","50","act_manage = QAction(""Manage Profiles\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","403","57","act_manage = QAction(""Manage Profiles\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","487","63","act_layout_manager = QAction(""Layout Templates\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","487","67","act_layout_manager = QAction(""Layout Templates\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","487","74","act_layout_manager = QAction(""Layout Templates\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","492","60","act_dashboard = QAction(""Dashboard Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","492","64","act_dashboard = QAction(""Dashboard Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","492","71","act_dashboard = QAction(""Dashboard Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
